0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1960-Republican-Richard-Nixon,0.03695902,0.017617771,0.037150517,0.021926465,0.011681348,0,0.095461509,0.0064151666,0.012830333,0.024894676,0.0730563,0.077843738,0.009000383,0.024032938,0.071141325
1964-Democratic-Lyndon-B-Johnson,0.039321714,0.02099958,0.022732045,0.0068773625,0.015329693,0,0.046251575,0.0036749265,0.0029399412,0.067198656,0.062106258,0.13387232,0.018584628,0.020579588,0.065676186
1964-Republican-Barry-Goldwater,0.030664794,0.0077247191,0.065191948,0.013342697,0.015332397,0.0018726592,0.084737828,0.0064372659,0.046699438,0.030781835,0.057467228,0.042720037,0.021067416,0.03511236,0.071395131
1968-Democratic-Hubert-H-Humphrey,0.042294782,0.03411657,0.033628319,0.010192249,0.028318584,0,0.044308819,0.010924626,0.0061031431,0.038144644,0.051754654,0.073542875,0.026243515,0.022642661,0.095697284
1968-Republican-Richard-Nixon,0.029562193,0.011047463,0.038768412,0.0095130933,0.020969722,0,0.062806874,0.015650573,0.023527005,0.024754501,0.065466448,0.065773322,0.027209493,0.035392799,0.11027005
1972-Democratic-George-McGovern,0.046933717,0.034260814,0.047333493,0.0057567762,0.056488367,0.00015991045,0.013912209,0.020828336,0.00887503,0.017150396,0.042216359,0.04889262,0.030462941,0.036819381,0.11901335
1972-Republican-Richard-Nixon,0.041407605,0.034978641,0.030875946,0.0074440638,0.011715941,0.00097280379,0.032102525,0.022289896,0.012519562,0.059383327,0.040011843,0.062978471,0.04610244,0.014676648,0.10125619
1976-Democratic-Jimmy-Carter,0.036729972,0.019521836,0.035235708,0.002265497,0.069362769,0.000048202063,0.015231852,0.023474405,0.022317555,0.013641184,0.057649667,0.041791189,0.068205919,0.023378001,0.1029114
1976-Republican-Gerald-R-Ford,0.048137421,0.027114751,0.027763907,0.0022970139,0.014780785,0.00019974034,0.034954559,0.024817737,0.049885149,0.020273644,0.056826126,0.028512933,0.061320284,0.029711375,0.080245681
1980-Democratic-Jimmy-Carter,0.045627887,0.026855731,0.020813192,0.0022290257,0.068616393,0,0.018799012,0.026318616,0.01138683,0.019013858,0.050757332,0.038403695,0.097405736,0.01101085,0.094371039
1980-Republican-Ronald-Reagan,0.042730234,0.025170269,0.03257329,0.0026058632,0.024281907,0,0.023215872,0.0247557,0.074178265,0.026384365,0.041220018,0.025140657,0.098164051,0.024104235,0.060379035
1984-Democratic-Walter-F-Mondale,0.047592664,0.034904981,0.049559532,0.0028533437,0.082913181,0.0095019115,0.019502466,0.027231426,0.0064269489,0.042107596,0.027092914,0.012687684,0.093744806,0.017341681,0.041636656
1984-Republican-Ronald-Reagan,0.046851027,0.03869326,0.03236912,0.007259664,0.016053587,0.0042285672,0.036448004,0.041163043,0.052576432,0.039254575,0.02604498,0.022826778,0.098304831,0.021217678,0.05010665
1988-Democratic-Michael-Dukakis,0.036256324,0.08663575,0.049536256,0.0056913997,0.049114671,0,0.028667791,0.046795953,0,0.03182968,0.02698145,0.010750422,0.07188027,0.01876054,0.05143339
1988-Republican-George-Bush,0.046425919,0.061396492,0.027712702,0.00077138449,0.010342266,0.0040854808,0.034569453,0.069881721,0.053796926,0.043111822,0.020770242,0.021198789,0.068453231,0.018798926,0.050111422
1992-Democratic-William-J-Clinton,0.051904361,0.11330049,0.049020786,0.00012014898,0.036405142,0.025111138,0.026673075,0.055749129,0.018142497,0.034723057,0.021746966,0.011294005,0.037486483,0.0057671513,0.045896912
1992-Republican-George-Bush,0.042009855,0.068697623,0.036542819,0.0021220732,0.00068337949,0.023702478,0.030140632,0.074488365,0.061648024,0.056180988,0.016940618,0.011221811,0.037657807,0.027802755,0.035140093
1996-Democratic-William-J-Clinton,0.039705466,0.15429057,0.023902577,0,0.026621354,0.081110167,0.011101671,0.030359671,0.016199377,0.048994619,0.0061738884,0.01297083,0.023619371,0.0089493061,0.019654489
1996-Republican-Robert-Dole,0.042995276,0.053328905,0.043069088,0.0025834071,0.002214349,0.056687334,0.024911426,0.072519929,0.064363744,0.036721287,0.023656628,0.0060894597,0.030705639,0.030742545,0.035245055
2000-Democratic-Albert-Gore-Jr,0.044568955,0.14890275,0.041343011,0,0.024109682,0.056793582,0.018591621,0.036122076,0.0080648584,0.032471667,0.0089986842,0.0082346449,0.018252048,0.010611656,0.026698926
2000-Republican-George-W-Bush,0.043309651,0.059857904,0.049259917,0.0018650089,0.0045293073,0.0339254,0.028981646,0.086885731,0.055476613,0.037892244,0.021817644,0.0063055062,0.030461812,0.018383659,0.040349319
