president,nationalism,legislation,2,3,4,peace,6,war,military,war and economics,10,international diplomacy,12,13,14,15,16,provision,18,19,20,21,22,basic needs,24
Woodrow-Wilson-1918,0.050149701,0.015344311,0.017776946,0.014221557,0.023577844,0.052582335,0.032185629,0.023577844,0.012537425,0.0095434132,0.023016467,0,0.017028443,0,0.0003742515,0,0.065868263,0,0.033121257,0.0013098802,0,0,0.024139222,0,0.058008982
Woodrow-Wilson-1919,0.022976165,0.007515568,0.012883831,0.052823706,0.028559158,0.041442989,0.032209577,0.0038651492,0.0032209577,0.0047240713,0.03779257,0.0030062272,0.02512347,0.00021473051,0.00085892205,0.027485506,0.074940949,0,0.034786343,0.0025767662,0.010521795,0,0.024264548,0.0070861069,0.043160833
Woodrow-Wilson-1920,0.026255708,0.002283105,0.015601218,0.046042618,0.032343988,0.04870624,0.019406393,0.020547945,0.014840183,0.031582953,0.03500761,0,0.01978691,0,0,0.034627093,0.073059361,0,0.023972603,0.0003805175,0,0,0.017884323,0,0.023592085
Warren-G-Harding-1921,0.027645551,0.0047601611,0.016660564,0.067008422,0.024899304,0.040278286,0.03698279,0.004577078,0.019406811,0.0087879897,0.036799707,0.0025631637,0.02288539,0.001464665,0,0.038264372,0.092273892,0,0.0082387404,0.00018308312,0,0,0.020688393,0.0098864885,0.031856463
Warren-G-Harding-1922,0.027017419,0.0040881621,0.014575187,0.056878777,0.025950942,0.036971205,0.045680768,0.0088873089,0.020796303,0.0072875933,0.036615713,0,0.033060789,0.01208674,0,0.042481337,0.091717028,0,0.0031994312,0.0058656239,0.0014219694,0,0.010487025,0.01581941,0.031816566
Calvin-Coolidge-1923,0.012413793,0.0044444444,0.0072030651,0.099923372,0.031264368,0.025900383,0.036628352,0,0.028965517,0.005210728,0.051034483,0,0.011340996,0.00045977011,0,0.05532567,0.074636015,0.00061302682,0.0096551724,0,0.0036781609,0.0010727969,0.029272031,0.0038314176,0.016091954
Calvin-Coolidge-1924,0.010358094,0.0068067476,0.0022195916,0.086416099,0.029594555,0.023083753,0.027670909,0.0029594555,0.034329683,0.0047351287,0.064812075,0,0.0094702575,0,0.0025155371,0.061408701,0.060520864,0.0010358094,0.0071026931,0,0,0,0.023823616,0.013169577,0.027522936
Calvin-Coolidge-1925,0.014089835,0.0066193853,0.0052009456,0.084349882,0.033191489,0.026288416,0.032907801,0.003498818,0.045106383,0.0026477541,0.045957447,0.000094562648,0.0080378251,0.000094562648,0.001891253,0.051631206,0.065815603,0.00085106383,0.008321513,0.0017021277,0.00028368794,0.0023640662,0.031111111,0.0074704492,0.024586288
Calvin-Coolidge-1926,0.01340134,0.0095009501,0.010001,0.10631063,0.03120312,0.02290229,0.03420342,0.00110011,0.04480448,0.0063006301,0.03890389,0,0.01060106,0,0,0.04920492,0.056405641,0,0.0092009201,0,0,0.00360036,0.02720272,0.0086008601,0.02590259
Calvin-Coolidge-1927,0.013835151,0.0079727987,0.0057451049,0.10575683,0.037284559,0.018876773,0.030718724,0,0.054402626,0.011372963,0.045374604,0,0.005979599,0,0,0.04080197,0.051823191,0,0.015593856,0.0014069645,0,0,0.041388205,0.010434987,0.020049244
Calvin-Coolidge-1928,0.010351438,0.0067731629,0.018019169,0.097507987,0.042172524,0.015591054,0.035782748,0.0029392971,0.050479233,0.0026837061,0.050351438,0,0.0083067093,0.002428115,0.0011501597,0.037316294,0.055846645,0,0.0051118211,0,0.00025559105,0.0039616613,0.03884984,0.011501597,0.025559105
Herbert-Hoover-1929,0.0062969925,0.0069548872,0.014379699,0.098684211,0.027349624,0.012969925,0.014097744,0.00084586466,0.047274436,0.010620301,0.04924812,0,0.0060150376,0.010620301,0.00056390977,0.060620301,0.065977444,0,0.00018796992,0,0,0.0068609023,0.035432331,0.021992481,0.02537594
Herbert-Hoover-1930,0.0036554718,0.015307288,0.014164953,0.14804661,0.01896276,0.010052547,0.0079963445,0,0.023989034,0.033584647,0.065570025,0,0.0013708019,0.021475897,0,0.051405072,0.071053233,0,0,0,0,0,0.01667809,0.0091386795,0.023989034
Herbert-Hoover-1931,0,0.011720159,0.0050486837,0.14785431,0.015867292,0.016408222,0.011359538,0.0037865128,0.021276596,0.024702488,0.08131987,0,0,0.010818608,0,0.045257843,0.08131987,0,0,0,0,0.0005409304,0.016227912,0.020375045,0.023440317
Herbert-Hoover-1932,0,0.01127537,0.0017539464,0.12753696,0.031571035,0.027060887,0.0085191681,0.0017539464,0.013029316,0.021799048,0.077925332,0.00050112754,0,0.01327988,0.003257329,0.040841894,0.070157855,0,0.00025056377,0,0,0.0025056377,0.025808068,0.020796793,0.03056878
Franklin-D-Roosevelt-1934,0.034148593,0.018920166,0.0023073373,0.070604522,0.037378865,0.043839409,0.010152284,0.012459622,0.011536687,0.017074296,0.045223812,0,0.026765113,0.006922012,0,0,0.074296262,0,0,0,0.010152284,0,0.017997231,0.03091832,0.042916474
Franklin-D-Roosevelt-1935,0.038212816,0.0088183422,0.00088183422,0.079952969,0.021751911,0.043503821,0.023221634,0,0,0.01675485,0.048794827,0,0.02292769,0.024103469,0,0.01675485,0.066725456,0,0,0.0023515579,0.0058788948,0.0097001764,0.0079365079,0.029688419,0.043503821
Franklin-D-Roosevelt-1936,0.060107817,0.00026954178,0.018598383,0.01967655,0.020215633,0.083827493,0.021832884,0.057412399,0.002425876,0.0037735849,0.043665768,0.00026954178,0.029919137,0,0.002425876,0.0016172507,0.041509434,0.00080862534,0.0032345013,0.011320755,0.01509434,0,0.0059299191,0.010242588,0.040431267
Franklin-D-Roosevelt-1937,0.021340322,0.01160614,0,0.042680644,0.019093972,0.077873456,0.010108574,0.026956196,0.013478098,0.023961063,0.026207413,0,0.024335455,0,0.012729315,0.0014975665,0.073006365,0.0033695245,0.0029951329,0.0056158742,0,0.0074878323,0.030700112,0.030700112,0.049045301
Franklin-D-Roosevelt-1938,0.024737303,0,0.0019702277,0.054509632,0.021891419,0.054728546,0.037872154,0.017950963,0,0.042688266,0.046190893,0,0.03765324,0.0015323993,0.010288967,0.0074430823,0.058887916,0.00021891419,0.0041593695,0.026050788,0.0032837128,0,0.010945709,0.018388792,0.031304729
Franklin-D-Roosevelt-1939,0.048740416,0,0,0.050383352,0.022179628,0.056955093,0.015060241,0.071193866,0,0.037787514,0.031763417,0,0.018619934,0,0.0054764513,0,0.05230011,0.0095837897,0,0.021905805,0.0057502738,0.019989047,0.01067908,0.015060241,0.019715225
